,CH1
Second,Volt
-5.29293e-01,2.20e+00, 
-5.14645e-01,2.20e+00, 
-4.99996e-01,2.18e+00, 
-4.85348e-01,2.18e+00, 
-4.70699e-01,2.18e+00, 
-4.56051e-01,2.18e+00, 
-4.41402e-01,2.18e+00, 
-4.26754e-01,2.18e+00, 
-4.12106e-01,2.20e+00, 
-3.97457e-01,2.20e+00, 
-3.82809e-01,2.18e+00, 
-3.68160e-01,2.18e+00, 
-3.53512e-01,2.18e+00, 
-3.38863e-01,2.18e+00, 
-3.24215e-01,2.18e+00, 
-3.09566e-01,2.18e+00, 
-2.94918e-01,2.18e+00, 
-2.80270e-01,2.18e+00, 
-2.65621e-01,2.18e+00, 
-2.50973e-01,2.20e+00, 
-2.36324e-01,2.20e+00, 
-2.21676e-01,2.18e+00, 
-2.07027e-01,2.18e+00, 
-1.92379e-01,2.20e+00, 
-1.77731e-01,2.20e+00, 
-1.63082e-01,2.20e+00, 
-1.48434e-01,2.18e+00, 
-1.33785e-01,2.20e+00, 
-1.19137e-01,2.18e+00, 
-1.04488e-01,2.18e+00, 
-8.98399e-02,2.18e+00, 
-7.51915e-02,2.18e+00, 
-6.05431e-02,2.18e+00, 
-4.58946e-02,2.18e+00, 
-3.12462e-02,2.20e+00, 
-1.65977e-02,2.18e+00, 
-1.94931e-03,2.18e+00, 
1.26991e-02,2.18e+00, 
2.73476e-02,2.20e+00, 
4.19960e-02,2.18e+00, 
5.66444e-02,2.20e+00, 
7.12929e-02,2.18e+00, 
8.59413e-02,2.20e+00, 
1.00590e-01,2.18e+00, 
1.15238e-01,2.18e+00, 
1.29887e-01,2.18e+00, 
1.44535e-01,2.18e+00, 
1.59184e-01,2.18e+00, 
1.73832e-01,2.18e+00, 
1.88480e-01,2.20e+00, 
2.03129e-01,2.18e+00, 
2.17777e-01,2.18e+00, 
2.32426e-01,2.18e+00, 
2.47074e-01,2.18e+00, 
2.61723e-01,2.20e+00, 
2.76371e-01,2.18e+00, 
2.91019e-01,2.18e+00, 
3.05668e-01,2.18e+00, 
3.20316e-01,2.20e+00, 
3.34965e-01,2.20e+00, 
3.49613e-01,2.18e+00, 
3.64262e-01,2.20e+00, 
3.78910e-01,2.18e+00, 
3.93559e-01,2.18e+00, 
4.08207e-01,2.18e+00, 
4.22855e-01,2.18e+00, 
4.37504e-01,2.18e+00, 
4.52152e-01,2.18e+00, 
4.66801e-01,2.20e+00, 
4.81449e-01,2.18e+00, 
4.96098e-01,2.18e+00, 
5.10746e-01,2.20e+00, 
5.25394e-01,2.20e+00, 
5.40043e-01,2.18e+00, 
5.54691e-01,2.18e+00, 
